date,open,high,low,close,prior_close
2019-01-02,1346.1100,1357.7700,1325.1801,1355.9100,
2019-01-03,1355.0200,1355.0200,1328.0000,1330.8300,1355.9100
2019-01-04,1333.1000,1383.1600,1333.1000,1380.7500,1330.8300
2019-01-07,1380.8400,1411.9000,1380.8400,1405.3700,1380.7500
2019-01-08,1405.8700,1426.5500,1404.0100,1426.5500,1405.3700
2019-01-09,1427.0000,1442.4200,1427.0000,1438.8101,1426.5500
2019-01-10,1436.9800,1445.7800,1424.5400,1445.4301,1438.8101
2019-01-11,1444.4399,1448.2800,1437.4500,1447.3800,1445.4301
2019-01-14,1446.5000,1446.5000,1431.3101,1432.8101,1447.3800
2019-01-15,1432.8500,1445.2200,1432.1300,1445.2200,1432.8101
2019-01-16,1445.9100,1460.3101,1445.9100,1454.7000,1445.2200
2019-01-17,1453.8300,1470.8400,1448.5500,1467.2500,1454.7000
2019-01-18,1466.6899,1487.2100,1466.6899,1482.5000,1467.2500
2019-01-22,1479.8199,1479.8199,1451.0100,1457.4500,1482.5000
2019-01-23,1457.7300,1468.4800,1444.9700,1454.2600,1457.4500
2019-01-24,1454.2300,1465.3400,1453.7300,1464.4100,1454.2600
2019-01-25,1466.7900,1484.6000,1466.7900,1482.8500,1464.4100
2019-01-28,1480.2800,1480.2800,1464.7700,1473.5400,1482.8500
2019-01-29,1473.5400,1477.0100,1469.3101,1471.4500,1473.5400
2019-01-30,1473.3800,1490.5100,1467.5699,1486.9399,1471.4500
2019-01-31,1486.6400,1500.7400,1484.8199,1499.4200,1486.9399
2019-02-01,1499.5300,1504.5100,1495.4700,1502.0500,1499.4200
2019-02-04,1501.9700,1517.5500,1500.1300,1517.5400,1502.0500
2019-02-05,1517.9200,1524.2100,1512.7200,1520.2300,1517.5400
2019-02-06,1520.1700,1520.8900,1511.1801,1518.0200,1520.2300
2019-02-07,1516.7000,1516.7000,1494.3700,1505.6300,1518.0200
2019-02-08,1504.1700,1506.6000,1495.1200,1506.3900,1505.6300
2019-02-11,1506.8199,1519.2100,1505.6700,1518.9800,1506.3900
2019-02-12,1520.1400,1538.8900,1520.1400,1538.2300,1518.9800
2019-02-13,1538.2900,1545.7400,1536.2500,1542.9399,1538.2300
2019-02-14,1540.9900,1551.3900,1534.5900,1545.1100,1542.9399
2019-02-15,1547.1200,1570.1600,1547.1200,1569.2500,1545.1100
2019-02-19,1568.5400,1578.2300,1564.8500,1574.4700,1569.2500
2019-02-20,1574.5500,1583.3400,1573.9600,1581.6600,1574.4700
2019-02-21,1581.3101,1581.3101,1569.4200,1575.5500,1581.6600
2019-02-22,1576.3101,1590.1000,1576.3101,1590.0601,1575.5500
2019-02-25,1591.6200,1602.1000,1588.8101,1588.8101,1590.0601
2019-02-26,1588.5601,1589.2600,1577.4301,1577.4800,1588.8101
2019-02-27,1577.2000,1582.0601,1570.6000,1581.0500,1577.4800
2019-02-28,1580.7600,1581.9900,1571.3101,1575.5500,1581.0500
2019-03-01,1577.5000,1590.2900,1576.1300,1589.6400,1575.5500
2019-03-04,1590.1500,1594.2400,1564.4800,1575.4399,1589.6400
2019-03-05,1575.6899,1575.8500,1567.6700,1568.2800,1575.4399
2019-03-06,1568.3101,1568.4399,1536.8199,1536.8199,1568.2800
2019-03-07,1536.7600,1536.9700,1521.6100,1523.6300,1536.8199
2019-03-08,1522.5300,1523.2400,1510.6500,1521.8800,1523.6300
2019-03-11,1522.8000,1548.9301,1522.8000,1548.8800,1521.8800
2019-03-12,1549.0300,1555.3000,1545.5100,1549.8300,1548.8800
2019-03-13,1550.2700,1562.6700,1550.2700,1555.8800,1549.8300
2019-03-14,1555.8700,1555.8700,1549.2100,1549.6400,1555.8800
2019-03-15,1550.5000,1563.5900,1550.1300,1553.5400,1549.6400
2019-03-18,1553.6600,1569.0601,1552.6801,1563.9301,1553.5400
2019-03-19,1565.5300,1570.8900,1552.6600,1554.9900,1563.9301
2019-03-20,1554.7200,1561.7400,1535.4100,1543.1600,1554.9900
2019-03-21,1541.8300,1569.3500,1538.3600,1562.4100,1543.1600
2019-03-22,1561.9700,1561.9700,1505.8800,1505.9200,1562.4100
2019-03-25,1505.8700,1520.4900,1494.9900,1512.8600,1505.9200
2019-03-26,1513.7600,1535.8700,1513.7600,1528.1700,1512.8600
2019-03-27,1527.9700,1530.0500,1505.7600,1522.2300,1528.1700
2019-03-28,1522.8900,1536.4399,1520.1200,1535.1000,1522.2300
2019-03-29,1536.6100,1546.9800,1532.2300,1539.7400,1535.1000
2019-04-01,1542.8900,1556.4000,1542.8900,1556.0601,1539.7400
2019-04-02,1556.0800,1556.1300,1545.5500,1553.3199,1556.0601
2019-04-03,1554.8800,1568.4000,1554.8800,1560.9100,1553.3199
2019-04-04,1561.0699,1567.5000,1558.3600,1567.4900,1560.9100
2019-04-05,1568.2300,1582.6100,1568.2300,1582.5601,1567.4900
2019-04-08,1581.3500,1581.3500,1571.2100,1579.0000,1582.5601
2019-04-09,1577.5100,1577.5100,1558.3900,1559.6801,1579.0000
2019-04-10,1560.0200,1581.6500,1560.0200,1581.5500,1559.6801
2019-04-11,1581.9301,1583.7300,1577.3700,1579.1400,1581.5500
2019-04-12,1581.3800,1589.7300,1580.2300,1584.8000,1579.1400
2019-04-15,1585.1700,1587.9800,1574.7300,1579.1700,1584.8000
2019-04-16,1580.2600,1585.4301,1579.4900,1582.7900,1579.1700
2019-04-17,1584.1300,1588.6000,1561.5699,1567.6000,1582.7900
2019-04-18,1567.0900,1569.2000,1556.1100,1565.7500,1567.6000
2019-04-22,1565.2200,1565.2200,1554.4600,1560.0400,1565.7500
2019-04-23,1560.5300,1587.5800,1560.5300,1585.0900,1560.0400
2019-04-24,1585.1100,1594.0300,1583.3600,1588.1300,1585.0900
2019-04-25,1587.0500,1587.0500,1565.4600,1575.6100,1588.1300
2019-04-26,1575.6600,1591.2500,1574.0601,1589.9000,1575.6100
2019-04-29,1591.9301,1603.0800,1591.9301,1598.3600,1589.9000
2019-04-30,1598.5500,1600.2900,1580.9000,1591.2100,1598.3600
2019-05-01,1593.4800,1595.8500,1576.1300,1576.3800,1591.2100
2019-05-02,1576.0000,1587.9200,1566.4600,1582.6500,1576.3800
2019-05-03,1584.0100,1614.0200,1584.0100,1614.0200,1582.6500
2019-05-06,1611.6801,1618.3700,1588.8400,1614.9800,1614.0200
2019-05-07,1611.4700,1611.4700,1571.4900,1582.3101,1614.9800
2019-05-08,1581.5900,1587.3500,1574.8500,1574.9700,1582.3101
2019-05-09,1573.3400,1573.3400,1546.8500,1570.0601,1574.9700
2019-05-10,1570.0000,1575.0800,1546.1400,1572.9900,1570.0601
2019-05-13,1571.5100,1571.5100,1520.2800,1523.0000,1572.9900
2019-05-14,1523.8101,1547.8400,1523.8101,1543.0601,1523.0000
2019-05-15,1541.5500,1550.0200,1529.4399,1548.2700,1543.0601
2019-05-16,1548.2700,1567.1700,1548.2700,1557.2400,1548.2700
2019-05-17,1555.0200,1557.5500,1534.6899,1535.7600,1557.2400
2019-05-20,1530.2500,1533.3600,1521.6300,1524.9600,1535.7600
2019-05-21,1529.8199,1545.9800,1529.8199,1545.2500,1524.9600
2019-05-22,1542.5800,1542.5800,1528.3600,1531.6300,1545.2500
2019-05-23,1525.0699,1525.0699,1493.4800,1501.3800,1531.6300
2019-05-24,1505.8800,1516.6600,1505.7600,1514.1100,1501.3800
2019-05-28,1514.9900,1520.2200,1503.8101,1504.0200,1514.1100
2019-05-29,1503.5300,1503.5300,1481.4200,1489.9500,1504.0200
2019-05-30,1491.8500,1500.6300,1478.0000,1485.5300,1489.9500
2019-05-31,1478.5300,1478.5300,1461.4700,1465.4900,1485.5300
2019-06-03,1465.8800,1476.8500,1460.4900,1469.9800,1465.4900
2019-06-04,1475.3199,1508.6500,1475.3199,1508.5601,1469.9800
2019-06-05,1510.1000,1514.2500,1494.0800,1506.7900,1508.5601
2019-06-06,1506.3500,1508.5400,1490.7700,1499.2900,1506.7900
2019-06-07,1504.6801,1518.9200,1504.6801,1514.3900,1499.2900
2019-06-10,1516.6200,1535.6400,1516.6200,1523.5601,1514.3900
2019-06-11,1525.0300,1536.1600,1513.2100,1519.1100,1523.5601
2019-06-12,1518.6400,1522.0000,1512.4000,1519.7900,1519.1100
2019-06-13,1520.5200,1536.0200,1520.5200,1535.8000,1519.7900
2019-06-14,1535.3199,1535.3199,1522.4200,1522.5000,1535.8000
2019-06-17,1523.2500,1538.5800,1523.2500,1532.7500,1522.5000
2019-06-18,1532.8700,1560.1801,1532.8700,1550.2300,1532.7500
2019-06-19,1550.4600,1556.4500,1547.5900,1555.5800,1550.2300
2019-06-20,1560.3101,1570.7400,1556.0800,1563.4900,1555.5800
2019-06-21,1561.8800,1561.8800,1546.1300,1549.6300,1563.4900
2019-06-24,1550.1000,1551.6500,1530.0800,1530.0800,1549.6300
2019-06-25,1530.9900,1533.2400,1520.5000,1521.0400,1530.0800
2019-06-26,1523.2600,1530.1300,1520.0400,1521.8900,1521.0400
2019-06-27,1518.8800,1546.5500,1518.8800,1546.5500,1521.8900
2019-06-28,1548.1200,1568.6000,1548.1200,1566.5699,1546.5500
2019-07-01,1574.6500,1586.7700,1562.7800,1566.5699,1566.5699
2019-07-02,1569.5300,1569.5300,1552.9301,1560.5400,1566.5699
2019-07-03,1562.1899,1572.1200,1562.1899,1572.1200,1560.5400
2019-07-05,1571.1100,1575.7900,1559.5800,1575.6200,1572.1200
2019-07-08,1574.2300,1574.2300,1559.0200,1561.3900,1575.6200
2019-07-09,1559.0100,1562.7300,1554.1200,1562.5900,1561.3900
2019-07-10,1564.6500,1572.8199,1558.8000,1565.0500,1562.5900
2019-07-11,1565.4600,1567.9500,1552.4000,1557.9200,1565.0500
2019-07-12,1558.6500,1574.4800,1558.6500,1570.0000,1557.9200
2019-07-15,1570.7300,1573.8800,1558.7800,1561.8199,1570.0000
2019-07-16,1561.4900,1569.6200,1558.2400,1562.0000,1561.8199
2019-07-17,1561.7500,1561.7500,1547.7600,1550.7800,1562.0000
2019-07-18,1550.3199,1557.4000,1546.0200,1555.6200,1550.7800
2019-07-19,1554.9200,1561.5601,1547.6400,1547.9000,1555.6200
2019-07-22,1549.7300,1554.2900,1543.5601,1544.7800,1547.9000
2019-07-23,1546.1200,1555.2000,1544.7600,1554.9600,1544.7800
2019-07-24,1554.0900,1581.6300,1550.5699,1580.4200,1554.9600
2019-07-25,1580.2100,1580.2100,1560.6500,1561.4500,1580.4200
2019-07-26,1561.9301,1581.5300,1561.9301,1578.9700,1561.4500
2019-07-29,1578.9000,1580.0200,1565.6300,1569.0300,1578.9700
2019-07-30,1567.6500,1586.3199,1557.9700,1585.6000,1569.0300
2019-07-31,1586.7600,1599.4000,1568.4000,1574.6100,1585.6000
2019-08-01,1574.9301,1587.8101,1546.5500,1550.7600,1574.6100
2019-08-02,1550.4600,1550.4600,1522.3700,1533.6600,1550.7600
2019-08-05,1532.3900,1532.3900,1472.6600,1487.4100,1533.6600
2019-08-06,1487.6801,1502.8600,1483.4000,1502.0900,1487.4100
2019-08-07,1501.5300,1504.5900,1478.4500,1500.6899,1502.0900
2019-08-08,1502.3199,1533.5000,1502.3199,1532.1300,1500.6899
2019-08-09,1530.9600,1530.9600,1509.9600,1513.0400,1532.1300
2019-08-12,1512.7600,1512.7600,1495.6300,1495.9000,1513.0400
2019-08-13,1493.4100,1522.7700,1490.0000,1510.5800,1495.9000
2019-08-14,1509.5800,1509.5800,1465.4600,1467.5200,1510.5800
2019-08-15,1467.5800,1470.9399,1456.2800,1461.6500,1467.5200
2019-08-16,1462.1300,1494.6801,1462.1300,1493.6400,1461.6500
2019-08-19,1496.6200,1515.3400,1496.6200,1508.8500,1493.6400
2019-08-20,1508.6300,1508.6300,1497.7700,1498.0100,1508.8500
