"","","26.49%","","1.27%","Nov 2023","Dec 2023","","Feb","","","","","","","Sep","","","","","","LINK TO AUDIT HERE 2024","","","","","","","","","",""
"","","","","","-4.41%","11.33%","-3.14%","6.60%","9.05%","-4.95%","3.45%","1.69%","2.22%","4.93%","9.54%","-4.89%","7.78%","-2.30%","34.68%","26.49%","","","","","","15.01%","","","","",""
"","","","","","-4.58%","8.63%","-2.38%","5.14%","6.47%","-5.45%","3.46%","1.79%","1.27%","4.73%","7.84%","-6.36%","7.41%","-2.52%","","","","","","","","","","","","",""
"","","","","","4.42%","4.42%","1.59%","5.17%","3.10%","-4.16%","4.80%","3.47%","1.13%","2.28%","1.79%","-0.99%","5.73%","-2.50%","","","BOOK A CALL","","","","","","","","","",""
"","","","","","","","","Month","","","","","","","Q","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","$3,486,111","","","","","","","","","","","",""
"12/29/2023","$622,900","0.00%","475.31","409.52","0.00%","0.00%","0.00%","","","","","","","","","","","","$0","","","","$622,900","$622,900","0.00%","","","0.00%","","",""
"1/2/2024","$609,800","-2.10%","472.65","402.59","-2.10%","-0.56%","-1.69%","","-2.10%","-2.10%","","","","","","","","","$0","","","","$609,800","$622,900","-2.15%","1","","-0.56%","","FALSE",""
"1/3/2024","$609,300","-0.08%","468.79","398.33","-2.18%","-1.37%","-2.73%","","-2.18%","-0.08%","","","","","","","","","$0","","","","$609,300","$622,900","-2.23%","2","","-0.82%","","TRUE",""
"1/4/2024","$679,000","-1.69%","467.28","396.28","-3.84%","-1.69%","-3.23%","","-3.84%","-1.69%","","","","","","","","","$80,000","","","","$679,000","$702,900","-3.52%","3","","-0.32%","","FALSE",""
"1/5/2024","$679,700","0.10%","467.92","396.75","-3.74%","-1.55%","-3.12%","","-3.74%","","-3.77%","","","","","","","","$0","","","","$679,700","$702,900","-3.41%","4","","0.14%","","FALSE",""
"1/8/2024","$786,500","1.00%","474.6","404.95","-2.77%","-0.15%","-1.12%","","-2.77%","","","","","","","","","","$100,000","","","","$786,500","$802,900","-2.09%","5","","1.43%","","FALSE",""
"1/9/2024","$794,500","1.02%","473.88","405.75","-1.79%","-0.30%","-0.92%","","-1.79%","","","","","","","","","","$0","","","","$794,500","$802,900","-1.06%","6","","-0.15%","","TRUE",""
"1/10/2024","$795,500","0.13%","476.56","408.5","-1.66%","0.26%","-0.25%","","-1.66%","","","","","","","","","","$0","","","","$795,500","$802,900","-0.93%","7","","0.57%","","FALSE",""
"1/11/2024","$797,700","0.28%","476.35","409.35","-1.39%","0.22%","-0.04%","","-1.39%","","","","","","","","","","$0","","","","$797,700","$802,900","-0.65%","8","","-0.04%","","TRUE",""
"1/12/2024","$867,600","0.61%","476.68","409.56","-0.78%","0.29%","0.01%","","-0.78%","","3.03%","","","","","","","","$65,000","","","","$867,600","$867,900","-0.03%","9","","0.07%","","TRUE",""
"1/16/2024","$857,400","-1.18%","474.93","409.52","-1.95%","-0.08%","0.00%","","-1.95%","-1.18%","","","","","","","","","$0","","","","$857,400","$867,900","-1.22%","10","","-0.37%","","FALSE",""
"1/17/2024","$854,200","-0.37%","472.29","407.21","-2.32%","-0.64%","-0.56%","","-2.32%","-0.37%","","","","","","","","","$0","","","","$854,200","$867,900","-1.60%","11","","-0.56%","","TRUE",""
"1/18/2024","$840,000","-1.66%","476.49","412.99","-3.94%","0.25%","0.85%","","-3.94%","-1.66%","-3.21%","","","","","","","","$0","","","","$840,000","$867,900","-3.32%","12","","0.89%","","FALSE",""
"1/19/2024","$844,000","0.48%","482.43","421.18","-3.48%","1.50%","2.85%","","-3.48%","","","","","","","","","","$0","","","","$844,000","$867,900","-2.83%","13","","1.25%","","FALSE",""
"1/22/2024","$1,000,000","0.71%","483.45","421.73","-2.80%","1.71%","2.98%","","-2.80%","","","","","","","","","","$150,000","","","","$1,000,000","$1,017,900","-1.79%","14","","0.21%","","TRUE",""
"1/23/2024","$1,003,000","0.30%","484.86","423.48","-2.51%","2.01%","3.41%","","-2.51%","","","","","","","","","","$0","","","","$1,003,000","$1,017,900","-1.49%","15","","0.29%","","TRUE",""
"1/24/2024","$980,100","-2.28%","485.39","425.83","-4.73%","2.12%","3.98%","","-4.73%","-2.28%","","","","","","","","","$0","","","","$980,100","$1,017,900","-3.86%","16","","0.11%","","FALSE",""
"1/25/2024","$980,400","0.03%","488.03","426.35","-4.70%","2.68%","4.11%","","-4.70%","","-0.77%","","","","","","","","$0","","","","$980,400","$1,017,900","-3.82%","17","","0.54%","","FALSE",""
"1/26/2024","$991,300","1.11%","487.41","423.81","-3.64%","2.55%","3.49%","","-3.64%","","","","","","","","","","$0","","","","$991,300","$1,017,900","-2.68%","18","","-0.13%","","TRUE",""
"1/29/2024","$989,400","-0.19%","491.27","428.15","-3.83%","3.36%","4.55%","","-3.83%","-0.19%","","","","","","","","","$0","","","","$989,400","$1,017,900","-2.88%","19","","0.79%","","FALSE",""
"1/30/2024","$1,000,000","1.07%","490.89","425.3","-2.80%","3.28%","3.85%","","-2.80%","","","","","","","","","","$0","","","","$1,000,000","$1,017,900","-1.79%","20","","-0.08%","","TRUE",""
"1/31/2024","$998,400","-0.16%","482.88","416.97","-2.95%","1.59%","1.82%","January","-2.95%","-0.16%","","-2.95%","1.59%","1.82%","","","","","$0","-$19,500","","","$998,400","$1,017,900","-1.95%","21","","-1.63%","","TRUE",""
"2/1/2024","$1,000,000","0.16%","489.2","421.88","-2.80%","2.92%","3.02%","","0.16%","","","","","","","","","","$0","","","","$1,000,000","$1,017,900","-1.79%","22","","1.31%","","FALSE",""
"2/2/2024","$1,004,000","0.40%","494.35","429.01","-2.41%","4.01%","4.76%","","0.56%","","1.28%","","","","","","","","$0","","","","$1,004,000","$1,017,900","-1.38%","23","","1.05%","","FALSE",""
"2/5/2024","$1,009,000","0.50%","492.55","428.45","-1.92%","3.63%","4.62%","","1.06%","","","","","","","","","","$0","","","","$1,009,000","$1,017,900","-0.88%","24","","-0.36%","","TRUE",""
"2/6/2024","$1,016,000","0.69%","493.98","427.59","-1.24%","3.93%","4.41%","","1.76%","","","","","","","","","","$0","","","","$1,016,000","$1,017,900","-0.19%","25","","0.29%","","TRUE",""
"2/7/2024","$1,026,000","0.98%","498.1","431.99","-0.27%","4.79%","5.49%","","2.76%","","","","","","","","","","$0","","","","$1,026,000","$1,026,000","0.00%","26","","0.83%","","TRUE",""
"2/8/2024","$1,042,000","1.56%","498.32","432.79","1.29%","4.84%","5.68%","","4.37%","","","","","","","","","","$0","","","","$1,042,000","$1,042,000","0.00%","","","0.04%","","TRUE",""
"2/9/2024","$1,055,000","1.25%","501.2","437.05","2.55%","5.45%","6.72%","","5.67%","","4.98%","","","","","","","","$0","","","","$1,055,000","$1,055,000","0.00%","","","0.58%","","TRUE",""
"2/12/2024","$1,118,500","0.00%","500.98","435.34","2.55%","5.40%","6.30%","","5.67%","","","","","","","","","","$63,500","","","","$1,118,500","$1,118,500","0.00%","","","-0.04%","","TRUE",""
"2/13/2024","$1,086,000","-2.91%","494.08","428.55","-0.43%","3.95%","4.65%","","2.60%","-2.91%","","","","","","","","","$0","","","","$1,086,000","$1,118,500","-2.99%","1","","-1.38%","","FALSE",""
"2/14/2024","$1,191,000","-0.83%","498.57","433.22","-1.26%","4.89%","5.79%","","1.75%","-0.83%","","","","","","","","","$114,000","","","","$1,191,000","$1,232,500","-3.48%","2","","0.91%","","FALSE",""
"2/15/2024","$1,205,000","1.18%","502.01","434.51","-0.10%","5.62%","6.10%","","2.94%","","","","","","","","","","$0","","","","$1,205,000","$1,232,500","-2.28%","3","","0.69%","","TRUE",""
"2/16/2024","$1,211,000","0.50%","499.51","430.57","0.40%","5.09%","5.14%","","3.46%","","-2.06%","","","","","","","","$0","","","","$1,211,000","$1,232,500","-1.78%","4","","-0.50%","","TRUE",""
"2/20/2024","$1,200,100","-0.90%","496.76","427.32","-0.50%","4.51%","4.35%","","2.53%","-0.90%","","","","","","","","","$0","","","","$1,200,100","$1,232,500","-2.70%","5","","-0.55%","","FALSE",""
"2/21/2024","$1,198,000","-0.17%","497.21","425.61","-0.68%","4.61%","3.93%","","2.35%","-0.17%","","","","","","","","","$0","","","","$1,198,000","$1,232,500","-2.88%","6","","0.09%","","FALSE",""
"2/22/2024","$1,205,000","0.58%","507.5","438.07","-0.10%","6.77%","6.97%","","2.94%","","","","","","","","","","$0","","","","$1,205,000","$1,232,500","-2.28%","7","","2.07%","","FALSE",""
"2/23/2024","$1,256,000","0.08%","507.85","436.78","-0.01%","6.85%","6.66%","","3.03%","","0.09%","","","","","","","","$50,000","","","","$1,256,000","$1,282,500","-2.11%","8","","0.07%","","TRUE",""
"2/26/2024","$1,265,000","0.72%","505.99","436.55","0.70%","6.45%","6.60%","","3.77%","","","","","","","","","","$0","","","","$1,265,000","$1,282,500","-1.38%","9","","-0.37%","","TRUE",""
"2/27/2024","$1,279,000","1.11%","506.93","437.6","1.82%","6.65%","6.86%","","4.92%","","","","","","","","","","$0","","","","$1,279,000","$1,282,500","-0.27%","10","","0.19%","","TRUE",""
"2/28/2024","$1,293,000","1.09%","506.26","435.27","2.93%","6.51%","6.29%","","6.06%","","","","","","","","","","$0","","","","$1,293,000","$1,293,000","0.00%","","","-0.13%","","TRUE",""
"2/29/2024","$1,297,000","0.31%","508.08","439","3.25%","6.89%","7.20%","February","6.39%","","","6.39%","5.22%","5.28%","","","","","$0","$71,100","","","$1,297,000","$1,297,000","0.00%","","","0.36%","","FALSE",""
"3/1/2024","$1,325,000","2.16%","512.85","445.61","5.48%","7.90%","8.81%","","2.16%","","5.39%","","","","","","","","$0","","","","$1,325,000","$1,325,000","0.00%","","","0.94%","","TRUE",""
"3/4/2024","$1,344,000","1.43%","512.3","444.02","6.99%","7.78%","8.42%","","3.62%","","","","","","","","","","$0","","","","$1,344,000","$1,344,000","0.00%","","","-0.11%","","TRUE",""
"3/5/2024","$1,337,000","-0.52%","507.18","436.05","6.44%","6.71%","6.48%","","3.08%","-0.52%","","","","","","","","","$0","","","","$1,337,000","$1,344,000","-0.52%","1","","-1.00%","","TRUE",""
"3/6/2024","$1,336,000","-0.82%","509.75","438.79","5.56%","7.25%","7.15%","","2.24%","-0.82%","","","","","","","","","$10,000","","","","$1,336,000","$1,354,000","-1.35%","2","","0.51%","","FALSE",""
"3/7/2024","$1,456,000","-0.82%","514.81","445.45","4.69%","8.31%","8.77%","","1.39%","-0.82%","","","","","","","","","$131,000","","","","$1,456,000","$1,485,000","-1.99%","3","","0.99%","","FALSE",""
"3/8/2024","$1,457,000","0.07%","511.72","439.02","4.76%","7.66%","7.20%","","1.46%","","-0.66%","","","","","","","","","","","","$1,457,000","$1,485,000","-1.92%","4","","-0.60%","","TRUE",""
"3/11/2024","$1,600,000","0.89%","511.28","437.39","5.70%","7.57%","6.81%","","2.37%","","","","","","","","","","$130,000","","","","$1,600,000","$1,615,000","-0.94%","5","","-0.09%","","TRUE",""
"3/12/2024","$1,600,100","0.01%","516.78","443.66","5.70%","8.72%","8.34%","","2.38%","","","","","","","","","","","","","","$1,600,100","$1,615,000","-0.93%","6","","1.08%","","FALSE",""
"3/13/2024","$1,675,000","0.93%","515.97","440.25","6.69%","8.55%","7.50%","","3.33%","","","","","","","","","","$60,000","","","","$1,675,000","$1,675,000","0.00%","","","-0.16%","","TRUE",""
"3/14/2024","$1,687,000","0.72%","514.95","439.14","7.45%","8.34%","7.23%","","4.07%","","","","","","","","","","$0","","","","$1,687,000","$1,687,000","0.00%","","","-0.20%","","TRUE",""
"3/15/2024","$1,738,000","0.12%","509.83","433.92","7.58%","7.26%","5.96%","","4.19%","","2.66%","","","","","","","","$49,000","","","","$1,738,000","$1,738,000","0.00%","","","-0.99%","","TRUE",""
"3/18/2024","$1,745,000","0.40%","512.86","437.48","8.01%","7.90%","6.83%","","4.61%","","","","","","","","","","$0","","","","$1,745,000","$1,745,000","0.00%","","","0.59%","","FALSE",""
"3/19/2024","$1,926,000","-1.95%","515.71","438.57","5.91%","8.50%","7.09%","","2.57%","-1.95%","","","","","","","","","$215,000","","","","$1,926,000","$1,960,000","-1.77%","1","","0.56%","","FALSE",""
"3/20/2024","$1,967,000","0.57%","520.48","443.77","6.51%","9.50%","8.36%","","3.16%","","","","","","","","","","$30,000","","","","$1,967,000","$1,990,000","-1.17%","2","","0.92%","","FALSE",""
