source,timestamp,expiry,strike,call_contracts,put_contracts
user_snapshot,unknown,unknown,7140,0,25
user_snapshot,unknown,unknown,7155,0,25
user_snapshot,unknown,unknown,7170,0,145
user_snapshot,unknown,unknown,7175,0,14
user_snapshot,unknown,unknown,7180,0,14
user_snapshot,unknown,unknown,7190,0,32
user_snapshot,unknown,unknown,7200,0,14
user_snapshot,unknown,unknown,7210,0,25
user_snapshot,unknown,unknown,7225,0,46
user_snapshot,unknown,unknown,7235,0,84
user_snapshot,unknown,unknown,7255,0,32
user_snapshot,unknown,unknown,7260,0,32
user_snapshot,unknown,unknown,7300,0,32
user_snapshot,unknown,unknown,7335,0,-25
user_snapshot,unknown,unknown,7370,0,-25
user_snapshot,unknown,unknown,7375,0,-14
user_snapshot,unknown,unknown,7380,0,-98
user_snapshot,unknown,unknown,7385,0,-64
user_snapshot,unknown,unknown,7390,0,-14
user_snapshot,unknown,unknown,7395,0,-36
user_snapshot,unknown,unknown,7415,0,-32
user_snapshot,unknown,unknown,7445,-84,0
user_snapshot,unknown,unknown,7460,-168,0
user_snapshot,unknown,unknown,7465,-68,0
user_snapshot,unknown,unknown,7470,-18,0
user_snapshot,unknown,unknown,7540,25,0
user_snapshot,unknown,unknown,7545,36,0
user_snapshot,unknown,unknown,7550,25,0
user_snapshot,unknown,unknown,7555,25,0
user_snapshot,unknown,unknown,7560,84,0
user_snapshot,unknown,unknown,7575,86,0
user_snapshot,unknown,unknown,7600,14,0
user_snapshot,unknown,unknown,7605,218,0
ddq_2026_03_02_1100,2026-03-02T11:00:00,2026-03-02,6380,0,33
ddq_2026_03_02_1100,2026-03-02T11:00:00,2026-03-02,6410,0,66
ddq_2026_03_02_1100,2026-03-02T11:00:00,2026-03-02,6435,0,66
ddq_2026_03_02_1100,2026-03-02T11:00:00,2026-03-02,6505,0,33
ddq_2026_03_02_1100,2026-03-02T11:00:00,2026-03-02,6520,0,66
ddq_2026_03_02_1100,2026-03-02T11:00:00,2026-03-02,6730,0,-99
ddq_2026_03_02_1100,2026-03-02T11:00:00,2026-03-02,6735,0,-66
ddq_2026_03_02_1100,2026-03-02T11:00:00,2026-03-02,6755,0,-66
ddq_2026_03_02_1100,2026-03-02T11:00:00,2026-03-02,6760,0,-33
ddq_2026_03_02_1100,2026-03-02T11:00:00,2026-03-02,6905,-33,0
ddq_2026_03_02_1100,2026-03-02T11:00:00,2026-03-02,6915,-33,0
ddq_2026_03_02_1100,2026-03-02T11:00:00,2026-03-02,6960,33,0
ddq_2026_03_02_1100,2026-03-02T11:00:00,2026-03-02,6965,33,0
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6380,0,33
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6410,0,66
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6435,0,66
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6500,0,33
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6505,0,33
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6510,0,33
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6520,0,66
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6525,0,154
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6545,0,44
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6550,0,33
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6560,0,44
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6565,0,85
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6580,0,77
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6585,0,170
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6595,0,118
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6625,0,85
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6635,0,85
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6655,0,85
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6665,0,85
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6670,0,85
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6695,0,85
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6700,0,85
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6705,0,85
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6715,0,85
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6730,0,-14
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6735,0,-66
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6755,0,-66
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6760,0,-66
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6765,0,-66
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6780,0,-33
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6785,0,-33
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6805,0,-110
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6815,0,-44
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6825,0,-129
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6830,0,-66
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6840,0,-85
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6845,0,-85
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6850,0,-84
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6855,0,-43
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6860,0,-42
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6875,0,-86
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6885,0,-86
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6905,-85,0
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6910,-88,0
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6915,-33,0
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6945,33,0
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6955,129,0
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6960,184,0
ddq_2026_03_02_1500,2026-03-02T15:00:00,2026-03-02,6965,33,0
